algorithm,image_resolution,time_taken
Canny,1860x1860,5.603470250032842
Roberts,1880x1880,22.042127416003495
Sobel,1880x1880,22.75321645801887
Canny,1880x1880,5.907590292044915
Roberts,1900x1900,24.594773375079967
Sobel,1900x1900,23.014573834021576
Canny,1900x1900,6.162665000068955
Roberts,1920x1920,23.119920333032496
Sobel,1920x1920,23.19402350008022
Canny,1920x1920,5.8306504159700125
Roberts,1940x1940,23.439373125089332
Sobel,1940x1940,23.841427500010468
Canny,1940x1940,6.317414124961942
Roberts,1960x1960,25.116490375017747
Sobel,1960x1960,24.320259915897623
Canny,1960x1960,6.234295458998531
Roberts,1980x1980,24.499145832960494
Sobel,1980x1980,24.608010999974795
Canny,1980x1980,6.550820917007513
Roberts,2000x2000,24.80692016694229
Sobel,2000x2000,26.011731083039194
Canny,2000x2000,6.7565649170428514
Roberts,200x200,0.33689558296464384
Sobel,200x200,0.3610821249894798
Canny,200x200,0.07469525001943111
Roberts,20x20,0.008492249995470047
Sobel,20x20,0.002821291913278401
Canny,20x20,0.0018758340738713741
Roberts,220x220,0.31489899998996407
Sobel,220x220,0.279145208070986
Canny,220x220,0.07280991703737527
Roberts,240x240,0.3512070419965312
Sobel,240x240,0.41089095803909004
Canny,240x240,0.09196600003633648
Roberts,260x260,0.45708016701973975
Sobel,260x260,0.3984360829927027
Canny,260x260,0.09377962502185255
Roberts,280x280,0.46492733305785805
Sobel,280x280,0.5071135419420898
Canny,280x280,0.12364537501707673
Roberts,300x300,0.5438143749488518
Sobel,300x300,0.5283671250799671
Canny,300x300,0.1321647500153631
Roberts,320x320,0.656038457993418
Sobel,320x320,0.6095787499798462
Canny,320x320,0.1515662909951061
Roberts,340x340,0.6936579579487443
Sobel,340x340,0.7488012500107288
Canny,340x340,0.17784266592934728
Roberts,360x360,0.7605942499358207
Sobel,360x360,0.8543080000672489
Canny,360x360,0.19533954199869186
Roberts,380x380,0.8757072909502313
Sobel,380x380,0.8839948748936877
Canny,380x380,0.24851066700648516
Roberts,400x400,0.9453789589460939
Sobel,400x400,1.0352950840024278
Canny,400x400,0.6846188750350848
Roberts,40x40,0.017683500074781477
Sobel,40x40,0.023698167060501873
Canny,40x40,0.003799583064392209
Roberts,420x420,2.3789799589430913
Sobel,420x420,2.496119874995202
Canny,420x420,0.2861275830073282
Roberts,440x440,1.3587674169102684
Sobel,440x440,1.2788317910162732
Canny,440x440,0.28388133307453245
Roberts,460x460,1.2805742080090567
Sobel,460x460,1.4226120839593932
Canny,460x460,0.3206960840616375
Roberts,480x480,1.4314446670468897
Sobel,480x480,1.4378661660011858
Canny,480x480,0.35923808300867677
Roberts,500x500,1.5374666249845177
Sobel,500x500,1.6046296251006424
Canny,500x500,0.37578820798080415
Roberts,520x520,1.7136815000558272
Sobel,520x520,1.7930696250405163
Canny,520x520,0.4428411250701174
Roberts,540x540,1.8469544170657173
Sobel,540x540,1.9881123329978436
Canny,540x540,0.5829694579588249
Roberts,560x560,2.0333174580009654
Sobel,560x560,2.0676737090107054
Canny,560x560,0.4790069169830531
Roberts,580x580,2.19544795807451
Sobel,580x580,2.180347250076011
Canny,580x580,0.5528315419796854
Roberts,600x600,2.315747958025895
Sobel,600x600,2.3181883330689743
Canny,600x600,0.5989174169953912
Roberts,60x60,0.02199570892844349
Sobel,60x60,0.024496541009284556
Canny,60x60,0.007170208031311631
Roberts,620x620,2.5346708750585094
Sobel,620x620,2.9895115420222282
Canny,620x620,0.6746252500452101
Roberts,640x640,2.5872628749348223
Sobel,640x640,2.53216245805379
Canny,640x640,0.6255354169989005
Roberts,660x660,2.670325458049774
Sobel,660x660,2.7629289580509067
Canny,660x660,0.6577313750749454
Roberts,680x680,2.9245415419572964
Sobel,680x680,2.8448779579484835
Canny,680x680,0.7180012500612065
Roberts,700x700,3.024888208019547
Sobel,700x700,3.039922458003275
Canny,700x700,0.7767541250213981
Roberts,720x720,3.30043891700916
Sobel,720x720,3.8707881660666317
Canny,720x720,0.833796082995832
Roberts,740x740,3.3544189169770107
Sobel,740x740,3.6571022500284016
Canny,740x740,0.9774253750219941
Roberts,760x760,4.342992041027173
Sobel,760x760,3.77560033404734
Canny,760x760,0.9470927079673856
Roberts,780x780,4.19792016595602
Sobel,780x780,4.455852749990299
Canny,780x780,1.0001827919622883
Roberts,800x800,4.1837297501042485
Sobel,800x800,4.150406375061721
Canny,800x800,1.1020180420018733
Roberts,80x80,0.0380742090055719
Sobel,80x80,0.04681854194495827
Canny,80x80,0.011149375000968575
Roberts,820x820,4.642292291042395
Sobel,820x820,4.310307750012726
Canny,820x820,1.014334790990688
Roberts,840x840,4.508434124989435
Sobel,840x840,5.539225000073202
Canny,840x840,1.2730145840905607
Roberts,860x860,7.004065250046551
Sobel,860x860,5.244511332944967
Canny,860x860,1.3754200410330668
Roberts,880x880,5.240000542020425
Sobel,880x880,5.1050373329781
Canny,880x880,1.271832500002347
Roberts,900x900,8.26011541695334
Sobel,900x900,6.356212833081372
Canny,900x900,1.5083169160643592
Roberts,920x920,5.429075417108834
Sobel,920x920,5.404553958913311
Canny,920x920,1.3813812920125201
Roberts,940x940,5.792730499990284
Sobel,940x940,9.583767874981277
Canny,940x940,2.036704415921122
Roberts,960x960,7.850203874986619
Sobel,960x960,7.891973500023596
Canny,960x960,1.6819681669585407
Roberts,980x980,7.060703375027515
Sobel,980x980,7.114148125052452
Canny,980x980,1.7539200839819387
