precision,recall,f1,jaccard,algorithm,image
0.052401867351730615,0.42686768676867687,0.09334481486037642,0.0489573655414473,canny,76002
0.017118364304350143,0.5998134328358209,0.03328674224776104,0.016925061198704957,roberts,187058
0.01665360006069649,0.6142723880597015,0.03242804028266811,0.016481247418939044,sobel,187058
0.016834558489881114,0.3460820895522388,0.0321073128515794,0.016315581160121377,canny,187058
0.026846768418539998,0.46205896568390525,0.05074511989596189,0.02603308598270815,roberts,140088
0.026945861444791837,0.4748670855485742,0.050997897796579365,0.026166158435090615,sobel,140088
0.0366820657794939,0.2571290478492025,0.06420468259715183,0.03316708229426434,canny,140088
0.02403458213256484,0.4110399211434204,0.045413705791064275,0.02323443376514835,roberts,220075
0.02416489981606032,0.42410054213898474,0.04572445766967334,0.023397139594322693,sobel,220075
0.02763144123085511,0.19517003449975356,0.0484092784450353,0.024805036174011086,canny,220075
0.007600899261321058,0.06826923076923076,0.013678836335613141,0.006886517943743938,roberts,227040
0.00786059285917227,0.0798076923076923,0.01431157858436072,0.007207363667940257,sobel,227040
0.007998145357598237,0.06634615384615385,0.014275369814833969,0.007188997707855803,canny,227040
0.034376074252320386,0.12300123001230012,0.05373455131649651,0.027609055770292656,roberts,112056
0.03343574914151455,0.11377613776137761,0.05168319597709178,0.026527100659592774,sobel,112056
0.03503448275862069,0.07810578105781057,0.048371738716434964,0.024785323965651834,canny,112056
0.02552921884317233,0.3220498354489892,0.0473082634068856,0.024227205206196506,roberts,134052
0.02509037546082537,0.32957216737188527,0.04663074569280915,0.023871956410693,sobel,134052
0.020028612303290415,0.1316408086506817,0.034767492394611035,0.017691287041132243,canny,134052
0.0273467147744655,0.7125038028597506,0.052671824397265206,0.027048252604347123,roberts,175032
0.026525721414267425,0.7374505628232431,0.05120946445547692,0.02627756217071743,sobel,175032
0.024256084699849044,0.35686035898996044,0.045424621461487825,0.02324014819804648,canny,175032
0.04394811002165964,0.5543478260869565,0.0814397617660387,0.04244837359967607,roberts,147080
0.0451771857514564,0.5763807285546416,0.08378707321760298,0.04372534599184329,sobel,147080
0.04644213941178982,0.3196239717978848,0.0811002198948977,0.042263916404459465,canny,147080
0.04075658635442468,0.33069427527405604,0.07256932843301035,0.037650811260574124,roberts,94079
0.03884633961222659,0.34287454323995126,0.0697861791137279,0.03615463652709992,sobel,94079
0.037958715596330274,0.20158343483556637,0.06388728044779,0.032997707107965304,canny,94079
0.015906221821460776,0.19427312775330396,0.0294049008168028,0.014921837991473235,roberts,187071
0.01661887157516498,0.2118942731277533,0.030820491461890878,0.015651438240270727,sobel,187071
0.0174547983310153,0.1105726872246696,0.03015015015015015,0.015305811329959144,canny,187071
0.021452223273415328,0.4566968781470292,0.040979532824289525,0.020918379113909452,roberts,16052
0.02131143812404758,0.47180261832829806,0.040780797771636235,0.02081482139683668,sobel,16052
0.02106050466480337,0.26938569989929506,0.03906677863375808,0.019922544127504282,canny,16052
0.008232171085990395,0.4017467248908297,0.01613374641959432,0.008132476869585716,roberts,311068
0.00821290683852207,0.40562833575934015,0.016099834379694183,0.008115244233905413,sobel,311068
0.005958581607566982,0.13876758854924795,0.011426516710281867,0.005746087236051674,canny,311068
0.017989157220305568,0.3057235923685435,0.033978950634842645,0.017283106224022727,roberts,202000
0.01785949130697809,0.31596091205211724,0.03380800637323242,0.017194661804553167,sobel,202000
0.016534082046482608,0.14797580269892974,0.029744645028528673,0.01509684770224079,canny,202000
0.02390497895629897,0.45503483217226093,0.045423653806641276,0.023239641621114596,roberts,239096
0.024281305830761733,0.4734008866371121,0.04619330119886293,0.023642718200939383,sobel,239096
0.03170974521588437,0.2723242558581381,0.05680504640179662,0.029232808729052654,canny,239096
0.030127165656738075,0.15695864828812806,0.05055133896606044,0.025931095276573862,roberts,113016
0.030947775628626693,0.15651400622498887,0.05167731043088894,0.026523999698590914,sobel,113016
0.031044609145574047,0.0987105380168964,0.047234042553191496,0.024188276312922204,canny,113016
0.012309594738912933,0.253765932792584,0.02348021871984561,0.011879576891781936,roberts,209021
0.01314121037463977,0.2641946697566628,0.025037061439631032,0.01267723102585488,sobel,209021
0.014021312394840156,0.14484356894553882,0.025567600736346896,0.01294934217341759,canny,209021
0.03805042289515851,0.34164997268257147,0.06847465050917984,0.03545107524849767,roberts,388067
0.03956022572484919,0.370242214532872,0.07148256887185528,0.037066073512252044,sobel,388067
0.047482935153583615,0.20269531961391368,0.07694168884587467,0.04001006542526422,canny,388067
0.039204237394169415,0.7957110609480813,0.07472673070553164,0.03881357098616751,roberts,51084
0.0393556753805201,0.8134875846501128,0.07507910259248167,0.03900373396828833,sobel,51084
0.04231754161331626,0.37302483069977427,0.07601195952161913,0.03950750104596258,canny,51084
0.0192064695476371,0.26012549914432403,0.03577171994508727,0.01821158991972523,roberts,138078
0.019041038043686898,0.2829435253850542,0.03568088626717502,0.01816450596938402,sobel,138078
0.02027503526093089,0.19680547632629777,0.03676274708295594,0.018725575336517586,canny,138078
0.04205961603233412,0.36433260393873085,0.07541330112478298,0.039184153755638364,roberts,81066
0.040883330076216536,0.38147337709700946,0.07385180216754333,0.038341703016751584,sobel,81066
0.03969822166337345,0.1611962071480671,0.06370712020755262,0.032901592973053444,canny,81066
0.02090837213388386,0.3808,0.03964023984010659,0.02022090059473237,roberts,35058
0.02077999404584698,0.3722666666666667,0.039362752009022985,0.020076509333563437,sobel,35058
0.021553477023180154,0.1696,0.03824643694750136,0.01949604561338974,canny,35058
0.016627596358283814,0.32925512774379273,0.03165651812897868,0.016082822139806302,roberts,260081
0.016517248919314418,0.353364519611371,0.03155932639156704,0.016032653061224488,sobel,260081
0.018040435458786936,0.14609571788413098,0.03211517165005537,0.016319639842431063,canny,260081
0.02210560137089001,0.4572441293752769,0.04217236729189653,0.021540388227927365,roberts,296059
0.02303832603821928,0.47806823216659283,0.04395828240853907,0.02247308020744382,sobel,296059
0.02117439466718949,0.19140451927337174,0.03813054415464054,0.01943582129842084,canny,296059
0.04778030338173215,0.413322632423756,0.0856584473366876,0.044745644902037446,roberts,35070
0.046504065040650404,0.40168539325842695,0.08335762168464005,0.043491484184914844,sobel,35070
0.05938819915525406,0.18619582664526485,0.09005337214944201,0.047149679910578196,canny,35070
0.008019281332164768,0.17985257985257985,0.01535395909805978,0.007736371514933733,roberts,335094
0.007974481658692184,0.18673218673218672,0.01529575140378771,0.007706816476362383,sobel,335094
0.0061444631559783355,0.06633906633906633,0.011247188202949263,0.005655397762975996,canny,335094
0.01548125809717701,0.8253047011027278,0.03039240830982303,0.015430692102350414,roberts,232076
0.015555578677931888,0.8676726639582124,0.03056322191556782,0.015518762651165205,sobel,232076
0.015777875716174526,0.4155542658154382,0.03040146062883468,0.015435359044559898,canny,232076
0.04839809134287662,0.022049689440993787,0.03029656496692981,0.015381282495667245,roberts,157087
0.04178957718780728,0.026397515527950312,0.03235629996193377,0.01644418649642097,sobel,157087
0.03432228039557882,0.01832298136645963,0.023891476007288925,0.01209016393442623,canny,157087
0.013395779825754142,0.14918676388109928,0.024584103512014784,0.012445026667914288,roberts,123074
0.013121031004856181,0.15759955131800338,0.024225182119918958,0.012261104808447509,sobel,123074
0.012227907380105802,0.07908020190689849,0.02118071203244705,0.010703712138465042,canny,123074
0.04761191795178919,0.1078697421981004,0.06606419445310066,0.034160489848533676,roberts,230098
0.046193097891768495,0.11668928086838534,0.0661856661856662,0.034225450203959805,sobel,230098
0.04513122393917096,0.06241519674355495,0.05238434163701068,0.02689665253617892,canny,230098
0.04369918699186992,0.3581467985424258,0.07789414095669403,0.040525416740295694,roberts,130034
0.04322121455630812,0.39198334200937013,0.0778576229126816,0.04050564819795589,sobel,130034
0.03937485774979137,0.2701717855283706,0.0687326181962654,0.03558938490022629,canny,130034
0.02671124002425315,0.4689298043728424,0.05054341927781826,0.025926927420509314,roberts,78004
0.026726847747239463,0.4769850402761795,0.05061745355741784,0.02596589040452289,sobel,78004
0.025759097046705676,0.2140391254315305,0.045984115701968545,0.023533133006484262,canny,78004
0.03903777168178941,0.08501838235294118,0.05350686912509039,0.0274888558692422,roberts,118035
0.038192928852029684,0.08042279411764706,0.05179047055341817,0.026583624487315813,sobel,118035
0.040176114474408366,0.03354779411764706,0.03656398697721012,0.018622448979591838,canny,118035
0.057367210163048916,0.4027387640449438,0.10042903423518082,0.05286932472920028,roberts,311081
0.0557510148849797,0.4339887640449438,0.09880885762251179,0.05197207972416113,sobel,311081
0.04766144349477683,0.28195224719101125,0.08153939886271325,0.04250251415868311,canny,311081
0.028123661627777866,0.5523364485981308,0.053522104659411644,0.027496898263027297,roberts,365072
0.029235870104115023,0.5878504672897197,0.055701508398028156,0.028648640442103027,sobel,365072
0.030961933053624477,0.3149532710280374,0.05638122856425842,0.029008378285320786,canny,365072
0.008011809702744415,0.6722972972972973,0.015834913730222937,0.007980643263909312,roberts,43051
0.00791678409469396,0.6959459459459459,0.01565547815072831,0.00788949599142113,sobel,43051
0.010299150716187096,0.36599099099099097,0.020034521020835902,0.01011862137675519,canny,43051
0.01825246477412575,0.5534591194968553,0.03533947312058256,0.017987572222827864,roberts,33039
0.018145826459914218,0.5765199161425576,0.035184237461617196,0.017907143322263463,sobel,33039
0.016299698320500697,0.30356394129979036,0.030938187723009207,0.015712146530957705,canny,33039
0.0207922419460881,0.42049861495844876,0.0396251533582187,0.020213049267643144,roberts,161045
0.02060934255145764,0.4343490304709141,0.039351503287657484,0.020070656904408377,sobel,161045
0.019723152085406676,0.24155124653739612,0.03646857095060851,0.018572949946751863,canny,161045
0.013188983319815214,0.16289198606271776,0.024402179232049067,0.012351794973413916,roberts,247012
0.013422361518021394,0.171602787456446,0.02489731437598736,0.012605579728692091,sobel,247012
0.011620841561598056,0.0666376306620209,0.01979045401629802,0.009994121105232217,canny,247012
0.012443204313644162,0.3508771929824561,0.024034084701940933,0.01216320813829199,roberts,49024
0.013105098472298914,0.37852206273258904,0.025333119851986267,0.012829059983062758,sobel,49024
0.014603368442476975,0.15257841573631048,0.026655521500882327,0.013507789334964937,canny,49024
0.034142317313321624,0.8802744425385934,0.06573503605692255,0.03398450433746109,roberts,140075
0.03428623594772947,0.9018867924528302,0.0660610857738746,0.034158827503767995,sobel,140075
0.03563079403466344,0.4548885077186964,0.0660852230251682,0.03417173487269354,canny,140075
0.018879173290938,0.3925619834710744,0.0360257868790292,0.018343309519212203,roberts,106020
0.017990156956637405,0.3725895316804408,0.034323055449816016,0.01746118839363522,sobel,106020
0.018356209690755746,0.22933884297520662,0.03399173174092788,0.017289719626168223,canny,106020
0.028955614612669073,0.3557504873294347,0.053552433701353486,0.02751290845362379,roberts,97017
0.03027848491861452,0.38255360623781676,0.05611551933662163,0.028867723311146253,sobel,97017
0.025436975984084127,0.17446393762183235,0.04440034726528587,0.022704211060375443,canny,97017
0.010740006262394321,0.5387434554973822,0.02106017191977077,0.010642148700499529,roberts,66039
0.011036565591049133,0.5701570680628272,0.021653973872064584,0.010945493652819797,sobel,66039
0.011055652607936112,0.2319371727748691,0.02110528823249166,0.010665190071502515,canny,66039
0.03505549177190968,0.1792563600782779,0.0586427656850192,0.030207096689091148,roberts,112082
0.03465485730352875,0.1929549902152642,0.05875692747750432,0.03026768172888016,sobel,112082
0.03260181472884575,0.12093933463796477,0.051358763400648225,0.026356192425793245,canny,112082
0.020909362847741548,0.24804826117814052,0.03856764511145443,0.019663000365692424,roberts,27059
0.022324643525853376,0.2750177430801987,0.04129699198039058,0.021083845693454485,sobel,27059
0.02338995607768429,0.15684882895670688,0.04070918719778955,0.020777511399426504,canny,27059
0.01860571490071571,0.552757793764988,0.035999687638285136,0.01832977694132616,roberts,365073
0.01906062117671769,0.580335731414868,0.036908998474834774,0.01880147096907857,sobel,365073
0.020551179145647473,0.3305355715427658,0.03869639473130103,0.019729936062601393,canny,365073
0.020444389081793128,0.5751204555409549,0.03948515923375335,0.02014019910113049,roberts,118020
0.01942539500317211,0.5632939115199299,0.03755566912462584,0.019137189541511033,sobel,118020
0.01907828056996363,0.2803328953131844,0.03572525049540875,0.01818750177612322,canny,118020
0.027490047932407183,0.6818639798488665,0.05284941723121376,0.027141926104176067,roberts,187099
0.02784441735163409,0.7133501259445844,0.053596775109294274,0.02753631643428038,sobel,187099
0.029335425846562443,0.3672544080604534,0.054331016750200294,0.02792408020990941,canny,187099
0.05240131448707289,0.5826546335020911,0.09615489401892585,0.05050562869681358,roberts,302003
0.05232866338508141,0.6084085406119304,0.09636873943134076,0.050623637795564023,sobel,302003
0.06968290119131045,0.35020911292097734,0.11623744292237445,0.06170493329196401,canny,302003
0.027029084818029542,0.38819026790595956,0.05053920347368047,0.02592470880344689,roberts,41069
0.02750918756912977,0.42154182613449975,0.051647909967845664,0.026508509541000515,sobel,41069
0.022648497222354114,0.26079825041006016,0.04167758846657929,0.021282291527238657,canny,41069
0.013336803070717586,0.5198647506339814,0.02600642760487145,0.013174524967331463,roberts,41096
0.013586163784121691,0.5511411665257819,0.026518617940739835,0.013437480678469116,sobel,41096
0.014258188824662813,0.3127641589180051,0.02727306232263296,0.013825056981653776,canny,41096
0.016861604227275426,0.696078431372549,0.03292562749985508,0.016738374491660282,roberts,296058
0.016144797970368253,0.7205882352941176,0.03158200040820272,0.01604435664312767,sobel,296058
0.015593262069390016,0.37254901960784315,0.029933633982551843,0.015194226194046262,canny,296058
0.0121437736053635,0.3831242873432155,0.023541363787637284,0.011910881086158918,roberts,246053
0.012344167992586506,0.40250855188141393,0.02395372113932855,0.012122044607750553,sobel,246053
0.011710599156836862,0.15678449258836943,0.021793398581447875,0.011016745453088695,canny,246053
0.009785119644335963,0.6741741741741741,0.019290256057741883,0.009739062533891504,roberts,26031
0.00987073279809187,0.6959459459459459,0.01946538437309703,0.009828348476977068,sobel,26031
0.013196790540540541,0.37537537537537535,0.025497195308516064,0.012913223140495868,canny,26031
0.02840063946618475,0.44891232696110744,0.05342154119708182,0.02744381607404323,roberts,69040
0.028151095591917388,0.45704240826192044,0.053035518498686866,0.027240105817334135,sobel,69040
0.025732459521973786,0.23467369808833224,0.046379329063076756,0.02374019161090982,canny,69040
0.006975246816425812,0.1375176304654443,0.013277047729284402,0.006682888378628466,roberts,67079
0.007082548321819831,0.14315937940761636,0.013497340425531914,0.00679452421595207,sobel,67079
0.011016132915964363,0.12905500705218617,0.020299500831946756,0.01025382417212977,canny,67079
0.010584998162637914,0.6019367991845056,0.02080415730831902,0.010511419264111647,roberts,95006
0.010233413820857767,0.589704383282365,0.02011771558731732,0.010161066516782885,sobel,95006
0.007035822506330165,0.172782874617737,0.013521059349074665,0.006806545527557474,canny,95006
0.008147267362487338,0.7805907172995781,0.016126220362622033,0.008128652401247858,roberts,58060
0.008041741286678606,0.7881856540084389,0.015921042538502843,0.008024399673525496,sobel,58060
0.009197892769139264,0.36540084388185656,0.017944095646588342,0.009053274232667058,canny,58060
0.028069540021731256,0.47497446373850866,0.05300655457395269,0.027224824355971896,roberts,145079
0.028861697483156142,0.4996935648621042,0.05457141582258712,0.028051102089497466,sobel,145079
0.03389062057240012,0.24433094994892748,0.05952469827049894,0.030675318679627587,canny,145079
0.012270854138687053,0.6340450771055753,0.02407576320619799,0.012184557868101306,roberts,163096
